customerID,gender,age_first_order,user_agent_brand,user_agent_os,ip_address_geopoint,ip_address_country,campaign,pages_visited_avg,high_revenue
000018,F,59,Chrome,Windows,POINT(21.0362 52.2394),Poland,false,12.0,False
000071,F,48,Chrome,MacOS X,POINT(139.6895 35.6897),Japan,true,12.666666666666666,False
000440,M,44,Chrome,Windows,POINT(-2 8),Ghana,true,14.2,True
000452,M,62,Chrome,Windows,POINT(139.6895 35.6897),Japan,false,15.0,False
000652,M,20,Firefox,Windows,POINT(-97.822 37.751),United States,false,10.0,False
000747,M,49,Chrome,Windows,POINT(-97.822 37.751),United States,false,14.5,False
000759,M,25,Chrome,MacOS X,POINT(127.0674 37.1549),South Korea,true,13.666666666666666,False
000759,M,,Firefox,Linux,POINT(-97.822 37.751),United States,false,13.666666666666666,False
000879,F,57,Chrome,MacOS X,POINT(103.8554 1.3036),Singapore,false,12.666666666666666,False
000887,F,27,Chrome,Linux,POINT(6.24 46.1963),France,true,13.5,False
001226,F,60,Chrome,Windows,POINT(113.722 34.7732),China,false,12.333333333333334,False
001247,F,59,Safari,MacOS X,POINT(-6.2591 53.3382),Ireland,true,12.0,False
001275,F,65,Chrome,Windows,POINT(-97.822 37.751),United States,false,10.0,True
001411,,69,Firefox,Windows,POINT(138.6005 -34.9274),Australia,true,8.833333333333334,True
001492,F,23,Chrome,Windows,POINT(134.044 34.3273),Japan,true,12.0,False
001571,M,42,Chrome,MacOS X,POINT(121 23.5),Taiwan,false,13.333333333333334,False
001682,M,69,Chrome,Windows,POINT(77.2204 28.6328),India,false,7.0,False
001771,M,15,Chrome,MacOS X,POINT(103.8397 36.0647),China,false,16.0,False
001onj,F,72,Chrome,MacOS X,,,false,8.0,False
002158,M,68,Firefox,Windows,POINT(153.0224 -27.4743),Australia,false,14.0,False
002241,,63,Chrome,MacOS X,POINT(103.8014 1.3673),Singapore,true,7.0,True
002402,,35,Safari,MacOS X,POINT(-97.822 37.751),United States,false,9.0,False
002431,M,45,Chrome,Windows,POINT(101.9328 2.7145),Malaysia,false,11.5,False
002453,F,45,Chrome,MacOS X,POINT(103.8014 1.3673),Singapore,true,12.333333333333334,False
002555,M,,Chrome,MacOS X,POINT(121 23.5),Taiwan,false,15.0,False
002938,M,24,Safari,MacOS X,POINT(-66 8),Venezuela,false,11.0,False
003194,F,76,Chrome,MacOS X,POINT(-77.4348 43.0908),United States,false,7.0,False
003314,M,31,Chrome,Windows,POINT(-97.822 37.751),United States,false,15.0,False
003374,F,24,Safari,MacOS X,POINT(11.5683 48.1663),Germany,false,11.0,False
003696,M,50,Safari,MacOS X,POINT(-97.822 37.751),United States,false,9.333333333333334,False
003742,M,63,Chrome,Windows,POINT(-97.822 37.751),United States,false,15.0,False
004074,M,,Chrome,Windows,POINT(-71.5222 42.9429),United States,true,9.0,False
004139,F,40,Chrome,Windows,POINT(-64.516 -31.4864),Argentina,true,9.11111111111111,True
004524,M,18,Chrome,MacOS X,POINT(113.722 34.7732),China,false,16.0,False
004753,M,51,Chrome,Windows,POINT(153.0224 -27.4743),Australia,false,11.8,False
004802,M,47,Chrome,Windows,POINT(113.722 34.7732),China,false,19.0,False
004901,F,70,Chrome,Windows,POINT(-97.822 37.751),United States,false,11.0,False
004915,M,60,Chrome,MacOS X,POINT(113.722 34.7732),China,false,10.333333333333334,False
004977,M,57,Chrome,MacOS X,POINT(-95.1122 43.4255),United States,false,13.0,False
005100,,72,Chrome,Windows,POINT(116.385 39.9285),China,false,12.0,False
005357,M,40,Chrome,Windows,POINT(121.1418 22.7564),Taiwan,false,12.5,False
005415,F,69,Chrome,MacOS X,POINT(0.4811 51.7219),United Kingdom,true,9.5,False
005604,F,71,Chrome,MacOS X,POINT(-0.0321 51.3488),United Kingdom,true,9.666666666666666,True
005639,F,,Chrome,Windows,POINT(-97.822 37.751),United States,true,11.0,False
005737,F,16,Chrome,MacOS X,POINT(-97.822 37.751),United States,false,12.0,False
005779,M,45,Chrome,Windows,POINT(-119.3402 36.2017),United States,false,11.5,False
005971,M,70,Safari,MacOS X,POINT(-97.822 37.751),United States,true,7.5,False
006022,F,39,Chrome,MacOS X,POINT(174.7679 -36.8506),New Zealand,false,13.0,False
006283,M,24,Firefox,Windows,POINT(51.4115 35.698),Iran,true,14.0,False
006476,F,53,Chrome,Windows,POINT(-93.0818 44.9709),United States,true,11.0,False
006523,M,32,Chrome,Windows,POINT(-1.451 55.0168),United Kingdom,true,10.75,False
006555,M,42,Chrome,Windows,POINT(-78.1539 38.7095),United States,false,12.333333333333334,False
006711,F,59,Chrome,Linux,POINT(-93.6487 45.2502),United States,true,11.6,False
006743,F,64,Chrome,Windows,POINT(28.3002 -25.7905),South Africa,false,10.666666666666666,False
006846,F,45,Safari,MacOS X,POINT(30 15),Sudan,false,9.0,False
006850,F,68,Firefox,Windows,POINT(-56.3052 -10.0193),Brazil,false,8.666666666666666,True
007135,F,65,Firefox,MacOS X,POINT(-1.5046 52.9029),United Kingdom,false,8.0,False
007217,M,61,Firefox,Linux,POINT(-97.822 37.751),United States,false,9.5,False
007356,F,61,Safari,MacOS X,POINT(9.491 51.2993),Germany,false,11.2,False
007494,F,43,Firefox,Windows,POINT(-97.822 37.751),United States,false,11.5,False
007537,M,66,Chrome,MacOS X,POINT(-58.3845 -34.6022),Argentina,false,13.0,False
007585,F,60,Chrome,Windows,POINT(116.385 39.9285),China,true,6.4,False
007660,M,33,Chrome,Windows,POINT(121.3176 24.9889),Taiwan,false,12.0,False
007762,F,64,Chrome,Windows,POINT(-97.822 37.751),United States,false,14.5,False
007921,M,,Firefox,Linux,POINT(-97.822 37.751),United States,true,9.333333333333334,False
007955,F,71,Chrome,Windows,POINT(-97.822 37.751),United States,false,13.0,False
008006,F,33,Chrome,Windows,POINT(-58.6096 -34.6438),Argentina,false,5.0,False
008025,M,73,Chrome,MacOS X,POINT(9.9249 57.0501),Denmark,false,18.0,False
008070,F,47,Chrome,Windows,POINT(-97.822 37.751),United States,false,12.5,False
008194,M,17,Chrome,Windows,POINT(12.1097 43.1479),Italy,true,16.0,False
008605,F,65,Chrome,Windows,POINT(11.7871 55.4436),Denmark,true,10.0,False
008680,F,47,Chrome,Windows,POINT(143.2104 -33.494),Australia,false,14.25,False
